Date,Province,Agriculture,Mining,Manufacturing,Construction,Trade,Transport,Finance,Community and social services
30-03-2021,WesternCape,136,8,311,179,447,128,483,492
30-03-2021,EasternCape,101,1,108,120,244,81,157,365
30-03-2021,NorthenCape,39,28,20,11,40,9,31,119
30-03-2021,FreeState,55,16,48,30,159,35,72,190
30-03-2021,KZN,130,2,277,184,543,168,355,577
30-03-2021,NorthWest,40,123,72,64,175,30,96,265
30-03-2021,Gauteng,43,61,510,315,909,333,1 063,957
30-03-2021,Mpumalanga,113,62,82,80,235,48,152,251
30-03-2021,Limpopo,136,95,69,96,227,70,119,352
30-12-2020,WesternCape,178,5,311,199,473,123,407,513
30-12-2020,EasternCape,101,2,102,115,231,82,125,365
30-12-2020,NorthenCape,28,32,14,20,46,7,37,106
30-12-2020,FreeState,54,13,49,46,149,46,59,222
30-12-2020,KZN,141,2,272,199,564,180,313,589
30-12-2020,NorthWest,40,120,51,60,176,29,107,282
30-12-2020,Gauteng,33,59,525,329,906,362,1 013,907
30-12-2020,Mpumalanga,100,61,90,75,251,64,147,243
30-12-2020,Limpopo,136,90,76,124,268,50,102,324
30-09-2020,WesternCape,137,10,303,167,443,131,421,476
30-09-2020,EasternCape,98,2,107,109,249,59,150,340
30-09-2020,NorthenCape,28,34,9,16,43,7,27,107
30-09-2020,FreeState,49,16,48,53,160,42,78,194
30-09-2020,KZN,132,1,272,192,524,168,309,598
30-09-2020,NorthWest,66,140,44,53,178,35,110,242
30-09-2020,Gauteng,41,61,504,305,914,324,1 075,889
30-09-2020,Mpumalanga,117,65,91,70,250,67,145,236
30-09-2020,Limpopo,142,89,81,115,248,47,119,299
30-06-2020,WesternCape,197,4,273,148,450,125,388,489
30-06-2020,EasternCape,67,2,115,119,240,65,114,346
30-06-2020,NorthenCape,24,27,6,12,57,7,23,84
30-06-2020,FreeState,57,18,54,40,115,33,73,175
30-06-2020,KZN,126,4,249,189,519,161,304,561
30-06-2020,NorthWest,45,122,63,51,180,33,85,240
30-06-2020,Gauteng,32,53,534,343,905,354,1 020,836
30-06-2020,Mpumalanga,108,67,97,69,249,69,135,217
30-06-2020,Limpopo,142,76,65,96,231,38,93,296
30-03-2020,WesternCape,255,2,309,188,483,169,422,521
30-03-2020,EasternCape,80,2,127,169,269,81,141,384
30-03-2020,NorthenCape,41,35,14,24,65,7,20,106
30-03-2020,FreeState,62,20,53,57,170,34,66,198
30-03-2020,KZN,133,7,324,222,585,189,338,626
30-03-2020,NorthWest,51,125,62,59,176,30,106,283
30-03-2020,Gauteng,30,83,616,382,1 019,363,1 152,1 026
30-03-2020,Mpumalanga,86,69,105,101,265,65,150,274
30-03-2020,Limpopo,126,93,96,142,288,57,123,341
30-12-2019,WesternCape,236,2,305,204,457,166,448,542
30-12-2019,EasternCape,77,1,127,155,277,73,137,396
30-12-2019,NorthenCape,36,33,17,20,57,11,29,107
30-12-2019,FreeState,66,17,55,66,161,34,79,201
30-12-2019,KZN,162,5,338,229,559,180,343,624
30-12-2019,NorthWest,48,134,70,63,170,38,126,267
30-12-2019,Gauteng,30,73,624,367,1 008,377,1 145,1 038
30-12-2019,Mpumalanga,92,80,103,105,263,70,143,258
30-12-2019,Limpopo,140,84,81,141,298,62,117,360
30-09-2019,WesternCape,215,9,330,185,513,152,457,473
30-09-2019,EasternCape,96,2,134,161,298,61,137,378
30-09-2019,NorthenCape,33,29,15,20,47,9,21,116
30-09-2019,FreeState,56,15,59,46,179,40,83,206
30-09-2019,KZN,143,3,333,238,557,192,337,631
30-09-2019,NorthWest,59,130,74,56,186,37,93,245
30-09-2019,Gauteng,40,65,627,383,1 025,358,1 105,1 043
30-09-2019,Mpumalanga,98,78,104,107,256,63,158,239
30-09-2019,Limpopo,140,89,84,142,349,64,101,347
30-06-2019,WesternCape,182,3,357,214,518,126,455,491
30-06-2019,EasternCape,97,1,119,147,294,76,147,381
30-06-2019,NorthenCape,33,26,17,16,49,9,22,101
30-06-2019,FreeState,60,20,62,60,168,37,88,210
30-06-2019,KZN,134,7,352,237,556,171,347,593
30-06-2019,NorthWest,61,122,72,70,161,38,93,227
30-06-2019,Gauteng,33,50,627,382,1 070,386,1 089,1 020
30-06-2019,Mpumalanga,101,68,101,109,257,66,143,248
30-06-2019,Limpopo,141,86,81,128,355,73,112,352
30-03-2019,WesternCape,225,4,346,220,506,133,444,492
30-03-2019,EasternCape,84,1,113,136,265,82,127,388
30-03-2019,NorthenCape,41,28,17,18,46,14,20,109
30-03-2019,FreeState,60,17,77,56,155,42,77,198
30-03-2019,KZN,134,9,348,230,534,184,335,580
30-03-2019,NorthWest,62,136,75,65,191,45,89,212
30-03-2019,Gauteng,31,50,620,375,1 066,389,1 168,1 026
30-03-2019,Mpumalanga,76,71,97,101,258,69,155,240
30-03-2019,Limpopo,124,100,86,137,325,66,101,328
30-12-2018,WesternCape,213,4,325,223,486,158,469,484
30-12-2018,EasternCape,78,1,123,164,281,71,148,390
30-12-2018,NorthenCape,39,27,17,24,48,11,19,104
30-12-2018,FreeState,57,24,71,58,140,40,91,219
30-12-2018,KZN,136,8,338,244,521,178,369,605
30-12-2018,NorthWest,62,130,55,87,179,32,94,237
30-12-2018,Gauteng,31,65,637,430,1 043,358,1 139,1 029
30-12-2018,Mpumalanga,96,73,109,106,267,60,161,229
30-12-2018,Limpopo,138,106,91,146,354,56,120,329
30-09-2018,WesternCape,183,4,297,233,501,160,456,499
30-09-2018,EasternCape,88,1,118,172,309,71,132,390
30-09-2018,NorthenCape,42,23,13,25,50,14,22,100
30-09-2018,FreeState,74,24,65,64,141,35,71,197
30-09-2018,KZN,121,9,346,238,511,176,347,657
30-09-2018,NorthWest,60,133,54,79,197,33,98,241
30-09-2018,Gauteng,34,61,627,413,979,389,1 112,1 017
30-09-2018,Mpumalanga,91,64,120,115,262,67,143,227
30-09-2018,Limpopo,148,89,79,163,354,51,120,347
30-06-2018,WesternCape,208,2,351,233,511,157,423,462
30-06-2018,EasternCape,91,1,144,163,301,62,137,402
30-06-2018,NorthenCape,48,24,15,24,50,11,24,105
30-06-2018,FreeState,92,18,58,51,162,41,84,202
30-06-2018,KZN,115,7,371,229,466,194,327,684
30-06-2018,NorthWest,47,125,74,94,190,34,100,231
30-06-2018,Gauteng,29,74,650,419,975,405,1 063,1 040
30-06-2018,Mpumalanga,87,66,98,112,247,58,122,238
30-06-2018,Limpopo,130,81,88,150,318,51,119,327
30-03-2018,WesternCape,208,2,351,214,510,141,436,496
30-03-2018,EasternCape,91,1,144,154,286,70,134,403
30-03-2018,NorthenCape,48,24,15,26,48,10,26,95
30-03-2018,FreeState,92,18,58,59,176,35,91,200
30-03-2018,KZN,115,7,371,211,467,178,323,702
30-03-2018,NorthWest,47,125,74,96,197,33,117,228
30-03-2018,Gauteng,29,74,650,419,1 004,383,1 018,1 069
30-03-2018,Mpumalanga,87,66,98,105,261,52,117,252
30-03-2018,Limpopo,130,81,88,146,328,58,141,339
30-12-2017,WesternCape,193,4,328,227,483,146,459,491
30-12-2017,EasternCape,94,2,115,146,320,64,152,372
30-12-2017,NorthenCape,55,25,9,26,45,12,26,100
30-12-2017,FreeState,77,16,55,75,163,39,86,200
30-12-2017,KZN,106,4,361,196,468,189,318,645
30-12-2017,NorthWest,47,128,85,90,206,36,111,218
30-12-2017,Gauteng,36,76,643,369,1 003,399,970,1 062
30-12-2017,Mpumalanga,104,64,106,107,254,59,132,264
30-12-2017,Limpopo,136,92,90,154,298,55,119,338
30-09-2017,WesternCape,159,5,330,231,481,150,424,446
30-09-2017,EasternCape,86,1,128,157,312,67,169,376
30-09-2017,NorthenCape,39,33,9,21,45,9,22,97
30-09-2017,FreeState,75,17,55,73,178,51,75,198
30-09-2017,KZN,121,5,330,199,490,182,320,633
30-09-2017,NorthWest,49,137,78,71,200,35,102,230
30-09-2017,Gauteng,44,91,624,340,990,383,1 070,1 091
30-09-2017,Mpumalanga,100,51,112,118,254,57,148,227
30-09-2017,Limpopo,138,107,84,156,335,55,132,319
30-06-2017,WesternCape,180,3,339,229,455,137,417,477
30-06-2017,EasternCape,90,1,129,139,339,74,166,369
30-06-2017,NorthenCape,36,33,7,24,54,11,18,81
30-06-2017,FreeState,80,15,69,61,165,44,59,176
30-06-2017,KZN,123,9,295,235,543,170,346,620
30-06-2017,NorthWest,54,132,77,84,197,31,99,210
30-06-2017,Gauteng,34,86,666,387,963,374,1 047,1 064
30-06-2017,Mpumalanga,95,54,112,105,255,55,140,245
30-06-2017,Limpopo,144,101,106,131,295,59,103,318
30-03-2017,WesternCape,215,4,359,228,432,148,379,474
30-03-2017,EasternCape,87,0,149,168,324,76,162,363
30-03-2017,NorthenCape,47,28,12,26,44,12,17,86
30-03-2017,FreeState,70,17,68,56,175,43,54,190
30-03-2017,KZN,141,7,295,228,518,155,332,608
30-03-2017,NorthWest,50,132,74,87,179,38,87,242
30-03-2017,Gauteng,36,92,646,452,1 008,384,1 094,1 055
30-03-2017,Mpumalanga,89,55,104,112,227,69,145,265
30-03-2017,Limpopo,140,112,82,150,301,40,109,285
30-12-2016,WesternCape,250,4,317,237,426,146,366,469
30-12-2016,EasternCape,88,0,142,185,323,80,149,364
30-12-2016,NorthenCape,53,24,15,22,44,15,16,85
30-12-2016,FreeState,65,17,59,54,193,36,53,181
30-12-2016,KZN,146,8,306,228,525,160,303,611
30-12-2016,NorthWest,55,128,66,72,198,37,79,233
30-12-2016,Gauteng,36,77,643,402,994,378,1 123,1 069
30-12-2016,Mpumalanga,88,53,100,113,219,58,120,262
30-12-2016,Limpopo,139,109,80,170,299,52,119,298
30-09-2016,WesternCape,196,3,301,242,450,120,381,457
30-09-2016,EasternCape,100,1,142,180,312,72,134,381
30-09-2016,NorthenCape,56,14,15,31,46,15,18,89
30-09-2016,FreeState,60,28,60,55,176,38,63,193
30-09-2016,KZN,141,5,317,203,540,179,295,579
30-09-2016,NorthWest,48,141,72,79,147,27,85,209
30-09-2016,Gauteng,47,107,605,405,1 017,359,1 115,1 014
30-09-2016,Mpumalanga,100,59,95,130,230,53,122,260
30-09-2016,Limpopo,134,80,76,167,281,52,109,316
30-06-2016,WesternCape,186,1,320,211,433,112,386,445
30-06-2016,EasternCape,99,2,134,150,265,68,117,389
30-06-2016,NorthenCape,42,19,11,34,46,13,19,84
30-06-2016,FreeState,66,35,66,56,155,36,59,214
30-06-2016,KZN,122,5,329,218,526,164,271,600
30-06-2016,NorthWest,37,140,70,77,193,33,83,201
30-06-2016,Gauteng,44,113,624,383,972,332,1 057,1 040
30-06-2016,Mpumalanga,106,57,90,111,236,62,129,244
30-06-2016,Limpopo,123,75,67,148,309,42,100,326
30-03-2016,WesternCape,228,2,286,204,457,121,418,471
30-03-2016,EasternCape,95,4,121,142,292,70,111,403
30-03-2016,NorthenCape,40,21,13,28,49,14,28,89
30-03-2016,FreeState,72,35,59,57,166,34,57,201
30-03-2016,KZN,131,7,316,240,550,166,266,617
30-03-2016,NorthWest,54,157,64,59,163,44,99,207
30-03-2016,Gauteng,37,95,619,374,937,342,1 038,1 077
30-03-2016,Mpumalanga,95,65,86,99,245,61,115,266
30-03-2016,Limpopo,118,85,80,158,300,50,96,340
30-12-2015,WesternCape,214,3,324,216,460,125,407,461
30-12-2015,EasternCape,89,1,119,166,306,67,134,384
30-12-2015,NorthenCape,43,22,13,33,46,10,19,96
30-12-2015,FreeState,64,35,69,53,187,38,65,213
30-12-2015,KZN,141,8,310,240,531,155,280,648
30-12-2015,NorthWest,57,172,80,69,168,46,94,200
30-12-2015,Gauteng,34,105,653,408,1 054,342,1 041,1 036
30-12-2015,Mpumalanga,92,61,97,123,242,61,130,259
30-12-2015,Limpopo,126,76,73,131,287,55,103,329
30-09-2015,WesternCape,245,3,283,196,484,119,119,464
30-09-2015,EasternCape,88,2,134,175,269,58,58,392
30-09-2015,NorthenCape,34,22,10,36,53,10,10,92
30-09-2015,FreeState,65,30,59,61,165,33,33,216
30-09-2015,KZN,134,7,349,283,518,155,155,643
30-09-2015,NorthWest,55,154,76,63,176,37,37,183
30-09-2015,Gauteng,33,92,671,391,1 001,366,366,1 024
30-09-2015,Mpumalanga,96,58,115,104,237,59,59,257
30-09-2015,Limpopo,145,78,78,151,296,60,60,311
30-06-2015,WesternCape,215,3,275,206,467,117,346,453
30-06-2015,EasternCape,84,0,138,170,297,62,123,386
30-06-2015,NorthenCape,27,25,13,30,54,8,17,93
30-06-2015,FreeState,74,34,72,53,169,36,62,206
30-06-2015,KZN,150,8,360,260,493,174,251,624
30-06-2015,NorthWest,54,154,64,62,171,25,110,212
30-06-2015,Gauteng,32,83,650,371,960,381,1 013,1 043
30-06-2015,Mpumalanga,88,58,110,92,240,62,142,249
30-06-2015,Limpopo,145,81,73,156,267,56,100,282
30-03-2015,WesternCape,252,3,307,181,410,116,353,473
30-03-2015,EasternCape,72,1,133,150,292,69,128,386
30-03-2015,NorthenCape,38,31,7,18,57,11,29,83
30-03-2015,FreeState,82,34,71,57,167,35,71,200
30-03-2015,KZN,154,9,373,283,466,166,286,581
30-03-2015,NorthWest,54,140,68,61,151,30,105,214
30-03-2015,Gauteng,36,96,653,335,992,355,1 002,987
30-03-2015,Mpumalanga,78,56,100,97,242,66,127,250
30-03-2015,Limpopo,126,74,66,139,268,51,94,276
30-12-2014,WesternCape,131,3,287,190,466,133,362,462
30-12-2014,EasternCape,88,1,135,131,289,68,115,388
30-12-2014,NorthenCape,60,20,11,29,47,7,24,102
30-12-2014,FreeState,54,26,76,54,170,32,67,207
30-12-2014,KZN,102,4,362,280,530,169,237,599
30-12-2014,NorthWest,42,150,76,56,177,36,73,234
30-12-2014,Gauteng,55,74,618,366,1 002,396,963,990
30-12-2014,Mpumalanga,89,76,93,110,254,55,125,231
30-12-2014,Limpopo,121,73,92,118,312,56,59,302
30-09-2014,WesternCape,133,4,276,169,487,139,362,462
